"","Year","Month","Station","DIN","DIP","CHLFa","SIL","TN","TP","SAL","T","ZS"
"2574",1997,7,"HUIB",22.43,1.39666666666667,9.91333333333333,4.90333333333333,46.88,2.06666666666667,29.9666666666667,18.8666666666667,5.66666666666667
"2575",1997,7,"LODS",5.40666666666667,1.09666666666667,5.26666666666667,4.22666666666667,26.4766666666667,1.79666666666667,31.04,19.2966666666667,3.66666666666667
"2576",1997,7,"MARS",3.375,0.405,17.84,0.23,29.61,1.255,27.235,19.15,7
"2577",1997,7,"N02",36.715,0.745,27.83,7.655,64.5,1.63,24.685,19.17,4
"2579",1997,7,"N20",5.145,0.32,5.39,1.155,18.355,0.675,32.435,17.71,1.5
"2580",1997,7,"N70",1.215,0.195,0.71,1.035,6.75,0.325,35.075,16.485,2
"2581",1997,7,"R03",25.43,1.23,15.24,2.1,64.36,3.16,29.45,20.19,27
"2582",1997,7,"R50",1.18,0.23,1.08,1.32,10.79,0.36,33.82,17.8,1
"2583",1997,7,"R70",1.29,0.13,0.58,0.53,13.14,0.36,34.2,18.69,1
"2586",1997,7,"T004",2.68,0.34,6.88,0.59,19.75,0.645,32.55,18.33,2
"2587",1997,7,"T010",2.125,0.21,3.75,0.465,13.785,0.5,32.845,18.025,1
"2588",1997,7,"T100",0.91,0.19,0.25,0.645,5.61,0.29,34.585,17.525,1
"2589",1997,7,"T135",1.015,0.16,0.32,0.53,5.11,0.245,34.68,17.505,0.6
"2590",1997,7,"T175",1.18,0.21,0.2,0.46,5.82,0.325,34.755,17.55,1
"2591",1997,7,"T235",0.945,0.21,0.32,0.96,6.825,0.34,34.88,17.09,1
"2592",1997,7,"VLIS",28.79,1.145,5.9,3.4,48.965,2.05,32.535,18.03,15.5
"2593",1997,7,"W02",1.54,0.23,10.88,0.71,24,0.97,32.36,19.1,13
"2594",1997,7,"W20",3,0.29,12.08,0.46,19.07,0.58,33.13,17.87,3
"2595",1997,7,"W70",2.36,0.29,1.28,0.93,6.07,0.42,35.1,16,2
"2598",1997,7,"ZUID",19.7133333333333,2.91333333333333,23.92,22.38,64.93,5.40333333333333,30.46,19.1333333333333,44.6666666666667
"2599",1997,8,"DANT",1.8,3.305,18.75,3.72,41.86,6.07,32.25,23.1,39.15
"2600",1997,8,"DREI",1.61,3.39,2.37,1.975,34,4.475,30.71,22.275,2.5
"2601",1997,8,"G6",1.32,0.32,11.8,1.32,26,1,30.63,20.3,6
"2602",1997,8,"GROO",71.465,6.185,11.78,110.715,131.07,10.01,20.25,22,72
"2603",1997,8,"HAMM",1.39,1.16,5.38,6.44,22.43,2,31.5,22.46,6
"2605",1997,8,"HUIB",3.785,1.825,10.51,3.615,33.25,2.795,30.64,22.45,13.5
"2606",1997,8,"LODS",2,2.16,3.76,2.95,24.79,2.94,31.39,23.34,5
"2607",1997,8,"MARS",1.055,0.725,10.35,1.44,22.925,1.515,29.08,21.7,4
"2610",1997,8,"N20",2.395,0.21,13.4,1.335,23.395,0.985,29.885,20.645,2
"2611",1997,8,"N70",0.555,0.11,1.13,1.105,8.75,0.39,35.045,18.55,1.5
"2612",1997,8,"R03",0.79,0.36,5.74,1.35,21.07,1.32,32.09,21.75,3
"2613",1997,8,"R50",1,0.32,1.98,1.03,18,0.68,33.48,20.07,3
"2614",1997,8,"R70",0.57,0.19,1.6,1.07,11.36,0.42,34.05,20.81,1
"2616",1997,8,"SOEL",1.25,14.145,7.67,48.875,52.75,14.77,20.95,22.435,3.5
"2617",1997,8,"T004",0.785,0.355,5.88,0.89,16.535,0.87,32.64,20.645,2.5
"2618",1997,8,"T010",1.16,0.29,4.07,0.945,13.785,0.725,32.995,19.885,1.5
"2619",1997,8,"T100",0.34,0.16,0.41,2.135,6.57,0.39,34.565,19.82,0.6
"2620",1997,8,"T135",0.395,0.095,0.37,0.66,6.785,0.275,34.71,19.875,0.6
"2621",1997,8,"T175",0.43,0.175,0.32,0.69,6.25,0.355,34.765,19.875,1
"2624",1997,8,"W02",0.82,0.29,5.88,2.67,21.21,1.16,32.38,21.17,8
"2625",1997,8,"W20",2.07,0.36,3.36,1.35,15.14,0.61,33.69,19.68,2
"2626",1997,8,"W70",1.39,0.36,0.88,1.25,14.57,0.52,35.2,17.79,4
"2627",1997,8,"WISS",2.36,0.87,4.5,6.84,20.93,1.52,32.12,22.35,5
"2629",1997,8,"ZUID",12.555,5.6,37.8,30.085,67.25,8.96,31.61,23.1,42
"2631",1997,9,"DREI",7.89,4.955,4.84,6.64,38.32,5.945,30.905,18.785,3.5
"2634",1997,9,"HAMM",5.895,1.515,3.24,4.93,25.32,2.26,31.98,19.165,9
"2635",1997,9,"HANS",114.075,5.86,5.27,25.525,151.18,8.02,23.4,18.55,51.5
"2636",1997,9,"HUIB",21.035,2.085,3.11,21.485,41.035,2.955,31.95,15.7,11
"2637",1997,9,"LODS",2.39,2.005,6.79,3.58,25.71,2.73,31.66,18.8,4.5
"2638",1997,9,"MARS",11.215,0.97,4.11,5.89,33.14,1.95,29.78,16.5,16
"2641",1997,9,"N20",4.79,0.55,8.76,2.78,20.79,1.32,31.99,18.95,2
"2642",1997,9,"N70",0.36,0.1,1.3,1.89,7.29,0.45,35.2,18.31,3
"2647",1997,9,"SOEL",6.5,15.53,9.61,116.765,56.215,17.485,21.805,18.705,3.5
"2654",1997,9,"VLIS",21.575,1.89,3.96,10.235,46.61,3.485,31.83,18.38,46
"2656",1997,9,"W20",2.86,0.61,5.16,3.17,16,1.19,33.83,19.76,6
"2657",1997,9,"W70",0.43,0.06,1.36,1.1,8.43,0.42,35.09,18.46,3
"2658",1997,9,"WISS",6.175,1.18,3.38,5.605,23.285,1.89,32.5,19.005,9.5
"2659",1997,9,"ZIJP",8.71,2.18,11.83,6.71,41.215,3.275,29.425,19.115,13.5
"2660",1997,9,"ZUID",30.82,2.505,15.1,29.775,72.25,5.73,32.34,14.4,60.5
"2661",1997,10,"DANT",20.71,1.55,9.02,8.94,47.71,3.39,32.73,14.7,33
"2662",1997,10,"DREI",9.43,3.39,2.88,9.97,38.29,4.36,30.79,12.36,2
"2666",1997,10,"HANS",132.21,6.33,4.52,44.14,171.5,9.3,22.34,14.3,77
"2667",1997,10,"HUIB",21.14,1.29,2.16,13.07,39.21,2.2,32.5,14.7,18
"2669",1997,10,"MARS",19.14,1.13,1.86,12.92,40.71,2.36,31.02,14.1,28
"2672",1997,10,"N20",10.43,0.71,2.28,6.66,21.57,1.13,32.91,14.98,11
"2673",1997,10,"N70",1.57,0.26,1.62,2.17,12.93,0.84,35.23,15.54,22
"2678",1997,10,"SOEL",16.79,14.66,2.94,112.5,64.14,16.21,21.95,12.28,2
"2681",1997,10,"T100",1.21,0.39,1.34,2.42,7.86,0.61,34.61,14.75,4
"2685",1997,10,"VLIS",34.36,2.23,3.06,19.3,57,3.75,31.71,13.92,34
"2687",1997,10,"W20",15.5,1.29,1.92,10.43,29.71,1.84,33.67,15.43,15
"2688",1997,10,"W70",1.21,0.19,1.56,1.25,8.93,0.55,35.15,16.07,22
"2692",1997,11,"DANT",33.36,1.19,8.03,17.94,98.71,6.23,30.81,7.3,117.5
"2696",1997,11,"HAMM",31.07,1.74,0.5,16.41,45,2.23,31.95,8.37,4
"2697",1997,11,"HANS",150.5,5.94,3.56,49.48,191.5,8.78,22.06,9.76,64
"2699",1997,11,"LODS",31,1.71,0.64,11.71,48,2.23,31.57,7.59,3
"2700",1997,11,"MARS",23.29,1.13,2.78,14.1,40.79,2.2,31.43,10,20
"2703",1997,11,"N20",15.57,0.9,2.96,6.16,26,1.19,32.94,11.47,3
"2704",1997,11,"N70",1.79,0.26,1.82,1.1,9.79,0.61,35.1,12.94,4
"2707",1997,11,"SOEL",13.64,2.87,0.9,7.48,39.57,3.6,21.9,8.14,1
"2709",1997,11,"T010",8.14,0.55,6.12,3.7,19.64,1,33.48,11.06,2
"2711",1997,11,"T135",1.14,0.42,2.7,2.24,8.5,0.65,34.67,12.68,2
"2712",1997,11,"T175",0.82,0.39,1.44,2.03,6.64,0.55,34.76,12,2
"2713",1997,11,"T235",2,0.26,0.88,2.24,9.29,0.55,34.93,10.94,1
"2716",1997,11,"W20",19.79,1.1,1.76,11.57,31.93,1.68,33.71,10.99,41
"2717",1997,11,"W70",6.36,0.55,1.18,2.81,14.21,1.03,35.14,12.91,9
"2718",1997,11,"WISS",30.21,1.58,1.16,16.55,48.21,2.49,32.46,8.81,43
"2719",1997,11,"ZIJP",35.14,2.13,0.7,24.56,53.79,2.62,29.5,7.48,3
"2720",1997,11,"ZUID",52.21,1.84,6.42,34.85,98.21,6.3,31.38,6.1,88
"2726",1997,12,"HANS",174.29,5.2,2.24,71.91,228.07,7.2,21.47,5.56,32
"2732",1997,12,"N20",22.71,1.1,0.98,10.89,32.86,1.36,33.55,6.94,5
"2733",1997,12,"N70",6.07,0.39,0.9,4.09,14.36,0.65,35.15,9.3,6
"2738",1997,12,"T010",23.86,1.03,0.78,9.43,34.71,1.29,32.82,5.57,5
"2739",1997,12,"T100",4.64,0.52,0.42,3.45,10.5,0.58,34.62,8.82,2
"2740",1997,12,"T135",3.86,0.55,0.46,4.49,10.29,0.65,34.67,9.3,1
"2741",1997,12,"T175",4.29,0.52,0.44,4.27,9.71,0.65,34.64,9.07,2
"2742",1997,12,"T235",2.64,0.39,0.54,2.03,8.79,0.58,34.77,8.09,3
"2743",1997,12,"VLIS",56.79,1.94,1.22,25.38,76,3.29,31.2,5.55,31
"2745",1997,12,"W20",21.71,0.94,1.18,10.75,34.43,2.03,34.11,7.43,39
"2746",1997,12,"W70",7.14,0.48,1.16,3.38,14.21,0.77,35.24,10.73,12
"2750",1998,1,"DANT",52.79,0.55,17.8,21.54,155.5,9.2,24.95,4.7,295
"2753",1998,1,"GROO",406.86,2.52,2.1,139.91,449.14,7.33,9.81,5.5,108
"2756",1998,1,"HUIB",52.36,1.03,3.38,25.92,66.36,2.07,28.88,5.8,23
"2758",1998,1,"MARS",64.71,1.32,2.82,28.02,98.07,4,29.65,6.1,72
"2761",1998,1,"N20",40.64,1.13,0.68,15.77,49.71,1.42,32.26,6.08,5
"2762",1998,1,"N70",7.14,0.42,1.12,3.84,13.21,0.65,35.29,8.61,6
"2765",1998,1,"SOEL",166.36,12.24,0.58,136.35,210.79,16.08,19.36,5.63,1
"2767",1998,1,"T010",29.5,0.74,0.82,12.14,36.36,0.94,32.71,7.14,4
"2768",1998,1,"T100",5.79,0.58,0.52,4.7,9.36,0.68,34.67,8.05,2
"2769",1998,1,"T135",6.07,0.55,0.6,4.34,9.79,0.65,34.6,7.52,2
"2770",1998,1,"T175",4.29,0.48,0.56,3.03,8.71,0.61,34.62,7.75,2
"2771",1998,1,"T235",4.5,0.42,0.64,2.99,8.14,0.55,34.76,7.72,4
"2772",1998,1,"VLIS",95.43,2.03,3.1,34.43,132.5,5,29.92,6.6,72
"2774",1998,1,"W20",26.43,0.9,1,10.29,34.07,1.13,33.99,7.52,6
"2775",1998,1,"W70",7,0.45,0.8,4.52,12,0.65,35.47,9.81,6
"2778",1998,1,"ZUID",95.21,1.1,16.6,43.79,205,11.27,23.96,7,301
"2780",1998,2,"DREI",37.855,0.79,2.42,12.725,54.355,1.42,30.305,4.54,4
"2782",1998,2,"GROO",329.86,2.13,3.44,118.55,400.79,8.43,13.71,3.4,140
"2783",1998,2,"HAMM",53.285,0.935,1.16,20.485,67.61,1.57,31.37,4.86,9.5
"2784",1998,2,"HANS",307.86,4.13,2.22,94.7,348.93,7.68,17.78,5.25,69
"2786",1998,2,"LODS",53.825,0.745,1.94,17.32,69.68,1.31,30.9,4.585,5
"2790",1998,2,"N20",39.79,0.94,1.8,12.96,48.07,1.16,32.15,5.32,4
"2791",1998,2,"N70",6.14,0.39,1.84,1.74,12.64,0.58,35.33,7.2,5
"2794",1998,2,"SOEL",211.57,11.17,0.54,145.25,259.36,12.04,18.32,2.11,1
"2796",1998,2,"T010",27.21,0.65,1.94,8.01,34.07,0.84,33.16,6.26,5
"2797",1998,2,"T100",5.29,0.61,0.74,3.1,10.64,0.77,34.7,6.77,2
"2798",1998,2,"T135",6,0.58,0.82,3.88,10.64,0.68,34.63,6.77,2
"2799",1998,2,"T175",3.36,0.36,1.24,1.32,8.71,0.52,34.66,6.31,2
"2800",1998,2,"T235",5.93,0.55,1.76,2.1,13.43,0.65,34.97,6.71,6
"2803",1998,2,"W20",24.07,0.81,1.38,7.8,31.71,1.13,33.86,5.98,7
"2804",1998,2,"W70",6.71,0.45,1.7,2.03,12.29,0.71,35.46,7.96,7
"2805",1998,2,"WISS",42.68,0.76,1.62,17.995,58.645,1.385,31.8,5.215,8.5
"2806",1998,2,"ZIJP",93.32,1.065,0.84,30.67,111.25,1.585,28.495,4.795,3
"2807",1998,2,"ZUID",75.43,1.23,6.82,36.31,126.36,5.97,27.66,0.4,113
"2808",1998,3,"DANT",54.75,0.39,15.4,12.55,102.75,3.985,27.455,6.35,86
"2811",1998,3,"GROO",430.14,2.115,3.54,139.91,487.645,7.265,8.825,6.6,116.5
"2812",1998,3,"HAMM",48.79,0.79,2.26,12.975,63.355,1.455,31.22,6.95,11
"2813",1998,3,"HANS",355.29,4.52,2.48,121.4,417.79,7.59,13.6,7.42,46
"2814",1998,3,"HUIB",56,0.81,9.32,14.865,77.145,1.855,29.73,6.4,21
"2815",1998,3,"LODS",56.36,0.63,2.09,8.65,78.93,1.355,30.465,7.025,6.5
"2816",1998,3,"MARS",59.25,0.76,7.88,12.89,81.785,2.26,27.76,6.35,37.5
"2822",1998,3,"SOEL",225.93,9.42666666666667,4.44,130.056666666667,272.073333333333,9.88,17.39,8.07666666666667,2.33333333333333
"2829",1998,3,"VLIS",99.57,1.65,3.78,30.33,128.5,4.91,29.65,6.9,77
"2833",1998,3,"WISS",52.675,0.905,3.95,14.63,68.18,2.015,31.61,7.1,25
"2834",1998,3,"ZIJP",81.14,0.905,1.28,22.64,97.605,1.355,29.335,6.655,2.5
"2835",1998,3,"ZUID",87.075,0.985,9.61,31.15,133.57,4.26,27.09,6.7,75
"2836",1998,4,"DANT",1.11,0.355,48.4,5,52.925,2.71,29.735,9.85,43
"2837",1998,4,"DREI",19.11,0.355,14.01,5.425,46.5,1.05,29.64,9.49,2
"2838",1998,4,"G6",75.64,0.61,34,13.63,109.64,2.55,26.7,8.66,47
"2839",1998,4,"GROO",310.68,2.425,4.77,106.8,382.325,7.04,11.015,12,109.5
"2841",1998,4,"HANS",348.21,4.81,4.38,106.09,375.36,8.04,15.32,9.33,51
"2842",1998,4,"HUIB",39.25,0.155,19.52,7.48,70.54,1.08,29.17,9.2,8.5
"2844",1998,4,"MARS",37.285,0.37,23.2,3.56,63.285,1.26,27.685,8.45,20.5
"2845",1998,4,"N02",36.215,0.55,46.4,11.515,88.785,2.325,28.75,9.39,67
"2848",1998,4,"N70",1.265,0.115,7.06,0.535,13.285,0.5,35.185,9.035,7.5
"2849",1998,4,"R03",21.21,0.16,19.6,7.12,63.43,2,29.92,9.02,36
"2850",1998,4,"R50",2.07,0.03,0.54,0.71,12.5,0.26,34.16,9.06,1
"2851",1998,4,"R70",1.93,0.13,3.42,0.89,8.43,0.36,35.07,8.42,2
"2853",1998,4,"SOEL",170.215,6.635,6.38,90.245,218.715,7.67,17.225,10.7,1.5
"2854",1998,4,"T004",14.0233333333333,0.16,27.8,0.82,42.57,1.01,31.6766666666667,8.96333333333333,8
"2855",1998,4,"T010",14.26,0.0866666666666667,17.4,0.626666666666667,33.38,0.56,32.4366666666667,8.70666666666667,3.33333333333333
"2856",1998,4,"T100",3.28666666666667,0.433333333333333,1.54,1.69666666666667,10.76,0.646666666666667,34.6266666666667,8.01333333333333,2
"2857",1998,4,"T135",2.16666666666667,0.313333333333333,0.82,1.81333333333333,8.64333333333333,0.463333333333333,34.6266666666667,7.78333333333333,1.33333333333333
"2858",1998,4,"T175",1.04666666666667,0.346666666666667,1.94,1.04333333333333,8.97666666666667,0.55,34.55,7.24666666666667,1.66666666666667
"2859",1998,4,"T235",0.75,0.163333333333333,2.89333333333333,0.296666666666667,8.21666666666667,0.42,35.06,7.65333333333333,1.33333333333333
"2860",1998,4,"VLIS",84.64,1.26,13.6,17.98,112.79,2.74,30.16,8.77,40
"2861",1998,4,"W02",47.43,0.65,33.8,8.9,101.5,4.65,31.77,8.47,114
"2862",1998,4,"W20",5.21,0.06,22,3.1,30.29,0.81,33.84,8.85,12
"2863",1998,4,"W70",4.86,0.26,4.62,1.14,12.14,0.55,35.25,9.15,5
"2866",1998,4,"ZUID",21.105,0.305,45.2,14.74,71.035,2.68,29.27,8.2,38.5
"2867",1998,5,"DANT",12.5,0.695,10.51,3.935,61,3.455,30.595,13.65,53.65
"2869",1998,5,"G6",32.36,0.58,29.8,8.44,142.86,6.04,30.02,13.98,74
"2870",1998,5,"GROO",203.11,2.94,6.97,73.51,253.035,6.635,13.55,15.15,75.5
"2871",1998,5,"HAMM",21.5,0.21,11.75,4.525,48.11,1.08,31.285,13.37,6.5
"2872",1998,5,"HANS",287.57,4.39,17.4,61.23,329.5,6.7,17.06,14.67,27.5
"2873",1998,5,"HUIB",42.575,0.5,6.63,1.87,66.425,1.39,29.005,13.3,5.5
"2874",1998,5,"LODS",25.965,0.12,9.2,1.745,47.57,0.87,30.535,14.465,3.5
"2877",1998,5,"N10",9.9625,0.095,16.06,9.2375,36.465,0.9925,31.5775,12.135,9
"2878",1998,5,"N20",1.335,0.08,6.5,5.785,19.25,0.74,33.055,12.99,6.5
"2879",1998,5,"N70",0.41,0.08,1.32,1.175,8.36,0.48,35.28,12.12,1.5
"2880",1998,5,"R03",44,0.58,9.52,1.92,74.86,2.03,28.99,13.84,23
"2881",1998,5,"R50",6.29,0.03,3.6,0.61,20.93,0.55,33.77,11.34,2
"2882",1998,5,"R70",2.43,0.06,5.94,0.61,13.86,0.48,34.24,11.17,2
"2884",1998,5,"SOEL",69.75,6.33,22.3,62.66,129.68,8.36,17.88,16.97,2
"2885",1998,5,"T004",13.535,0.115,3.06,1.42,43.215,1.21,32.09,13.77,10
"2886",1998,5,"T010",5.855,0.06,2.86,1.405,25.86,0.725,32.575,12.835,2.5
"2887",1998,5,"T100",3.035,0.095,2.11,2.01,12.07,0.55,34.31,11.84,2
"2888",1998,5,"T135",0.41,0.145,0.57,0.655,6.285,0.465,34.66,11.035,1
"2889",1998,5,"T175",0.36,0.195,0.45,1.195,6.175,0.48,34.68,11.32,1
"2890",1998,5,"T235",5.335,0.115,0.76,6.46,12.75,0.485,34.64,11.115,4.5
"2892",1998,5,"W02",5.36,0.13,2.02,3.99,36.79,1.74,32.9,14.41,20
"2893",1998,5,"W20",5.64,0.13,1.98,4.02,20.79,0.71,33.71,13.5,4
"2894",1998,5,"W70",0.39,0.06,0.58,0.96,8.07,0.32,35.24,12.28,2
"2895",1998,5,"WISS",13.29,0.12,7.06,6.355,43.5,1.11,31.595,13.145,10.5
"2896",1998,5,"ZIJP",49.785,0.34,6.59,4.525,76.145,1.16,29.935,13.58,2.5
"2897",1998,5,"ZUID",51.61,1.085,12.24,11.91,95.71,3.7,28.325,13.35,39.5
"2899",1998,6,"DREI",4.35666666666667,1.89333333333333,10.78,1.61333333333333,31.8566666666667,3.01666666666667,29.5333333333333,17.4066666666667,3
"2901",1998,6,"GROO",138.355,3.745,15,82.415,212.79,9.43,15.13,18.8,129.5
"2902",1998,6,"HAMM",13.6666666666667,0.57,4.94666666666667,3.36666666666667,32.6666666666667,1.17666666666667,31.59,16.7666666666667,3
"2903",1998,6,"HANS",200.906666666667,4.15666666666667,11.9533333333333,26.9733333333333,233.55,5.5,20.11,17.3566666666667,17.3333333333333
"2904",1998,6,"HUIB",38,0.84,11.5,4.695,68.82,1.615,29.71,16.5,7
"2905",1998,6,"LODS",4.58333333333333,0.32,10.44,3.51333333333333,28.24,1.08666666666667,30.7166666666667,17.36,4.66666666666667
"2906",1998,6,"MARS",15.82,0.135,15.02,2.92,49.645,1.515,29.195,15.05,15.5
"2915",1998,6,"SOEL",7,8.835,25.7,60.695,69.105,10.465,18.35,18.435,3
"2922",1998,6,"VLIS",40.0466666666667,1.03,9.2,4.59333333333333,64.9766666666667,2.90666666666667,30.7366666666667,16.4666666666667,36.3333333333333
"2926",1998,6,"WISS",10.93,0.443333333333333,7.22,2.94666666666667,29.7166666666667,1.11,32.13,16.6066666666667,3.66666666666667
"2927",1998,6,"ZIJP",21.8566666666667,0.263333333333333,20.6,1.93666666666667,49.81,1.27,29.47,16.94,3
"2930",1998,7,"DREI",3.07,2.45,5.18,7.62,33.29,3.55,29.6,17.52,3
"2931",1998,7,"G6",3.14,0.26,17.8,0.71,33.07,1.78,32.74,16.87,28
"2932",1998,7,"GROO",141.14,4.535,8.02,106.09,207.61,9.54,15.03,18.15,118.5
"2933",1998,7,"HAMM",8.71,0.84,2.72,4.02,25.93,1.42,32.16,17.17,4
"2934",1998,7,"HANS",162.465,4.44,11.39,20.08,195.39,6.085,21.2,18.44,22.5
"2935",1998,7,"HUIB",23.965,1.325,7.34,12.32,50.21,2.225,31.015,17.2,16.5
"2936",1998,7,"LODS",4.21,0.97,2.44,6.66,24.36,1.61,31.23,17.26,3
"2938",1998,7,"N02",24.965,0.825,8.85,5.36,43.785,1.645,29.785,17.565,3.5
"2939",1998,7,"N10",12.2,0.362,10.976,0.924,31.668,1.116,31.364,17.162,4.2
"2940",1998,7,"N20",5.715,0.24,5.92,0.34,22.215,0.87,32.78,17.205,2.5
"2941",1998,7,"N70",0.84,0.095,1.18,1.39,8.18,0.39,35.11,16.3,1.5
"2946",1998,7,"SOEL",5.32,13.48,6.29,62.835,52.465,14.095,19.05,18.75,7.5
"2953",1998,7,"VLIS",28.82,1.13,12.1,4.025,52.64,2.295,31.495,18.01,16.5
"2954",1998,7,"W02",18.79,0.94,10.4,3.88,40.36,1.68,32.85,17.37,11
"2955",1998,7,"W20",5.71,0.42,6.68,1.14,18.14,0.84,34.12,17.08,3
"2956",1998,7,"W70",4.36,0.13,1.52,4.13,14.79,0.42,35.24,15.67,2
"2957",1998,7,"WISS",6.93,0.65,4.98,2.63,22.36,1.13,32.52,17.2,4
"2958",1998,7,"ZIJP",20.86,0.74,15.6,4.09,51.36,1.71,29.48,17.24,4
"2959",1998,7,"ZUID",25.21,2.26,19,20.72,84.93,6.75,30.18,16.3,78
"2960",1998,8,"DANT",11,1.87,12.7,17.12,55.93,4.84,31.07,18.3,127.8
"2962",1998,8,"G6",0.54,0.26,8.18,0.75,22.57,1.39,32.35,20.23,12
"2963",1998,8,"GROO",99.5,5.685,10.58,112.855,166.93,11.3,18.78,19.05,118
"2965",1998,8,"HANS",127.645,4.345,10.31,11.055,162.465,6.455,23.07,19.67,31
"2966",1998,8,"HUIB",12.64,1.4,6.8,8.81,32.82,2.31,31.4,18.45,6
"2967",1998,8,"LODS",3.355,1.485,5.6,6.055,28.82,2.195,31.69,20.01,2.5
"2968",1998,8,"MARS",7.82,0.585,5.76,1.155,30.82,1.57,29.645,18.85,6.5
"2971",1998,8,"N20",0.605,0.175,4.5,1,14.5,0.985,33.475,18.56,2.5
"2973",1998,8,"R03",14.57,1.39,13,12.18,43,3.1,31.28,19.43,25
"2974",1998,8,"R50",0.89,0.13,4.2,1.1,12.29,0.65,34.29,17.5,2
"2975",1998,8,"R70",0.64,0.1,6.04,0.36,11.43,0.71,34.53,16.89,3
"2977",1998,8,"SOEL",1.95333333333333,17.0033333333333,10.8266666666667,87.6966666666667,52.36,18.2433333333333,20.2133333333333,19.2233333333333,1.5
"2985",1998,8,"W02",2.14,0.65,7.24,4.34,33.36,3.49,33.74,20.2,46
"2986",1998,8,"W20",1.04,0.42,2.68,2.21,14.93,1.07,34.21,19.18,4
"2987",1998,8,"W70",0.54,0.06,1.54,0.96,8.21,0.48,35.13,17.63,3
"2988",1998,8,"WISS",3.57,0.71,4.02,3.81,19.285,1.275,33.24,19.45,3
"2989",1998,8,"ZIJP",2.66,0.87,20,1.99,33.105,2.245,30.19,19.765,4
"2990",1998,8,"ZUID",23.075,3.715,21.5,32.075,79.5,7.44,30.74,19.45,76.5
"2991",1998,9,"DANT",19.5733333333333,1.52666666666667,13.4666666666667,11.0833333333333,71.05,4.98333333333333,30.5433333333333,15.2,66
"2994",1998,9,"GROO",147.046666666667,4.76666666666667,8.19333333333333,140.976666666667,229.12,10.8566666666667,13.69,14.8666666666667,126
"2995",1998,9,"HAMM",12.11,1.305,2.7,8.085,29.79,1.985,32.925,16.55,6.5
"2996",1998,9,"HANS",139.535,5.41,2.89,42.15,173.105,7.3,20.49,16.63,31
"2997",1998,9,"HUIB",24.45,1.72333333333333,5.34666666666667,20.3633333333333,47.7366666666667,2.73333333333333,30.7233333333333,15.1,10
"2998",1998,9,"LODS",13.105,1.615,2.38,4.29,34.68,2.47,31.695,16.12,5
"3002",1998,9,"N20",7.14,0.39,16.4,2.06,25,1.29,32.29,17.6,1
"3003",1998,9,"N70",0.86,0.13,1.48,1.85,8.57,0.55,35.17,17.07,2
"3005",1998,9,"R50",1.79,0.32,6.62,2.1,15,0.9,34.45,16.72,1
"3006",1998,9,"R70",2.57,0.26,3,3.88,10.79,0.71,34.74,16.5,3
"3008",1998,9,"SOEL",58.21,16.69,4.1,141.33,103.21,17.76,18.89,15.39,2
"3010",1998,9,"T010",1.5,0.19,3.08,2.03,11.07,0.65,34.31,16.13,2
"3011",1998,9,"T100",0.36,0.29,3.36,4.66,9.07,0.71,34.74,15.32,2
"3012",1998,9,"T135",0.93,0.29,0.58,4.13,7.57,0.61,34.78,15.07,1
"3013",1998,9,"T175",0.36,0.26,0.56,3.42,7.57,0.61,34.74,14.33,1
"3014",1998,9,"T235",0.61,0.16,0.92,1.89,7.64,0.71,34.84,13.94,1
"3015",1998,9,"VLIS",37.14,1.985,2.66,17.73,69.82,4.105,31.785,16.515,52
"3017",1998,9,"W20",4.57,0.81,2.7,4.98,15.21,1.36,34.18,18.08,2
"3018",1998,9,"W70",1.04,0.16,1.76,1.17,13.07,0.58,35.16,17.4,2
"3019",1998,9,"WISS",10.32,1.18,2.53,8.045,27.64,2.1,33.39,16.535,16
"3020",1998,9,"ZIJP",19.715,2,4.91,12.405,41.93,2.665,30.385,16.565,2
"3021",1998,9,"ZUID",31.395,2.615,17.1,33.66,93.425,6.875,28.805,14.8,70.5
"3022",1998,10,"DANT",47.43,0.645,8.43,34.175,121.285,5.895,26.505,9.75,146
"3023",1998,10,"DREI",16.36,3.58,1.04,15.02,45.71,4.55,28.62,11.83,3
"3025",1998,10,"GROO",285,3.33,4.54,185.12,374.07,11.66,7.83,10.1,180
"3026",1998,10,"HAMM",27.64,1.61,1.5,17.34,46.21,2.55,32.47,12.73,11
"3027",1998,10,"HANS",155.36,5.26,2.8,56.25,190.29,7.72,20.43,13.33,39
"3028",1998,10,"HUIB",36.43,1.49,2.56,26.7,62.21,2.62,30.74,11,14
"3029",1998,10,"LODS",35.79,1.97,0.96,12.32,58.93,2.84,31.21,11.99,8
"3030",1998,10,"MARS",20.785,0.63,7.09,11.39,46.855,1.63,26.23,13.75,10
"3039",1998,10,"SOEL",55.93,15.63,0.92,139.55,104.21,16.5,19.13,11.54,1
"3046",1998,10,"VLIS",47.57,2.03,2.8,22.71,86.07,5.62,31.25,13.43,97
"3050",1998,10,"WISS",25.71,1.45,1.5,16.09,40.43,2.1,32.65,13.04,10
"3051",1998,10,"ZIJP",43.29,2.49,1.04,20.75,66.5,3.16,30.39,12.41,4
"3052",1998,10,"ZUID",53.95,1.86333333333333,10.48,47.7033333333333,144.55,9.52666666666667,26.7,10.4666666666667,193.666666666667
"3054",1998,11,"DREI",39.14,2.07,1.02,24.92,65.14,2.62,27.11,7.71,0.5
"3056",1998,11,"GROO",382.39,2.455,7.81,181.56,541.43,19.07,2.72,5.05,295.5
